"id","model_id","met_name","met_id","formula","charge","compartment","bound","constraint_sense","used_","comment_","lower_bound","upper_bound","balanced","fixed"
121,"140407_iDM2014","Pyruvate","pyr_e","C3H3O3",-1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
122,"140407_iDM2014","Succinate","succ_e","C4H4O4",-2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
123,"140407_iDM2014","5'-Deoxyadenosine","dad_DASH_5_c","C10H13N5O3",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
124,"140407_iDM2014","Adenine","ade_c","C5H5N5",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
125,"140407_iDM2014","5-Methylthio-D-ribose","5mtr_c","C6H12O4S",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
126,"140407_iDM2014","5-Methylthio-D-ribose","5mtr_p","C6H12O4S",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
127,"140407_iDM2014","H+","h_p","H",1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
128,"140407_iDM2014","D-Arabinose 5-phosphate","ara5p_c","C5H9O8P",-2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
129,"140407_iDM2014","D-Ribulose 5-phosphate","ru5p_DASH_D_c","C5H9O8P",-2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
130,"140407_iDM2014","2-Oxoglutarate","akg_c","C5H4O5",-2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
131,"140407_iDM2014","4-Aminobutanoate","4abut_c","C4H9NO2",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
132,"140407_iDM2014","Succinic semialdehyde","sucsal_c","C4H5O3",-1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
133,"140407_iDM2014","Acetaldehyde","acald_c","C2H4O",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
134,"140407_iDM2014","Bicarbonate","hco3_c","CHO3",-1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
135,"140407_iDM2014","Acetyl phosphate","actp_c","C2H3O5P",-2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
136,"140407_iDM2014","Acetate","ac_c","C2H3O2",-1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
137,"140407_iDM2014","Ornithine","orn_c","C5H13N2O2",1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
138,"140407_iDM2014","N2-Acetyl-L-ornithine","acorn_c","C7H14N2O3",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
139,"140407_iDM2014","Citrate","cit_c","C6H5O7",-3,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
140,"140407_iDM2014","cis-Aconitate","acon_DASH_C_c","C6H3O6",-3,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
141,"140407_iDM2014","Isocitrate","icit_c","C6H5O7",-3,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
142,"140407_iDM2014","N-Acetyl-L-glutamate 5-semialdehyde","acg5sa_c","C7H10NO4",-1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
143,"140407_iDM2014","AMP","amp_c","C10H12N5O7P",-2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
144,"140407_iDM2014","Inosine","ins_c","C10H12N4O5",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
145,"140407_iDM2014","Adenosine","adn_c","C10H13N5O4",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
146,"140407_iDM2014","Hypoxanthine","hxan_c","C5H4N4O",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
147,"140407_iDM2014","GDP","gdp_c","C10H12N5O11P2",-3,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
148,"140407_iDM2014","ITP","itp_c","C10H11N4O14P3",-4,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
149,"140407_iDM2014","IDP","idp_c","C10H11N4O11P2",-3,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
150,"140407_iDM2014","S-Adenosylmethioninamine","ametam_c","C14H24N6O3S",2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
151,"140407_iDM2014","CO2","co2_c","CO2",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
152,"140407_iDM2014","cAMP","camp_c","C10H11N5O6P",-1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
153,"140407_iDM2014","5-Phospho-alpha-D-ribose 1-diphosphate","prpp_c","C5H8O14P3",-5,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
154,"140407_iDM2014","Adenosine 5'-phosphosulfate","aps_c","C10H12N5O10PS",-2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
155,"140407_iDM2014","3'-Phosphoadenylyl sulfate","paps_c","C10H11N5O13P2S",-4,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
156,"140407_iDM2014","N-Acetyl-L-glutamyl 5-phosphate","acg5p_c","C7H9NO8P",-3,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
157,"140407_iDM2014","S-Adenosyl-L-homocysteine","ahcys_c","C14H20N6O5S",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
158,"140407_iDM2014","S-Ribosyl-L-homocysteine","rhcys_c","C9H17NO6S",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
159,"140407_iDM2014","D-Alanine","ala_DASH_D_c","C3H7NO2",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
160,"140407_iDM2014","D-Alanyl-D-alanine","alaala_c","C6H12N2O3",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
161,"140407_iDM2014","D-Alanyl-D-alanine","alaala_p","C6H12N2O3",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
162,"140407_iDM2014","L-alanine-D-glutamate","LalaDglu_c","C8H13N2O5",-1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
163,"140407_iDM2014","L-alanine-L-glutamate","LalaLglu_c","C8H13N2O5",-1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
164,"140407_iDM2014","Pyruvate","pyr_c","C3H3O3",-1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
165,"140407_iDM2014","Ethanol","etoh_c","C2H6O",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
166,"140407_iDM2014","alpha-D-Ribose 5-phosphate","r5p_c","C5H9O8P",-2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
167,"140407_iDM2014","P1,P4-Bis(5'-adenosyl) tetraphosphate","ap4a_c","C20H24N10O19P4",-4,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
168,"140407_iDM2014","Aminoacetone","aact_c","C3H8NO",1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
169,"140407_iDM2014","1-Aminopropan-2-ol","appl_c","C3H10NO",1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
170,"140407_iDM2014","Fumarate","fum_c","C4H2O4",-2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
171,"140407_iDM2014","N(omega)-(L-Arginino)succinate","argsuc_c","C10H17N4O6",-1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
172,"140407_iDM2014","L-Citrulline","citr_DASH_L_c","C6H13N3O3",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
173,"140407_iDM2014","L-Aspartate 4-semialdehyde","aspsa_c","C4H7NO3",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
174,"140407_iDM2014","4-Phospho-L-aspartate","4pasp_c","C4H6NO7P",-2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
175,"140407_iDM2014","Oxaloacetate","oaa_c","C4H2O5",-2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
176,"140407_iDM2014","L-Allo-threonine","athr_DASH_L_c","C4H9NO3",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
177,"140407_iDM2014","L-2-Amino-3-oxobutanoate","2aobut_c","C4H7NO3",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
178,"140407_iDM2014","Adenosine 3',5'-bisphosphate","pap_c","C10H11N5O10P2",-4,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
179,"140407_iDM2014","Calcium","ca2_e","Ca",2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
