sample_name_abbreviation,component_group_name,component_name,calculated_concentration_units,var,ci_level,max,test_stat,median,used_,ci_lb,iq_1,cv,min,n,iq_3,ci_ub,mean,pvalue_corrected,index_
EColi_BL21,,nad(p)_ratio_denominator,ratio,0.128175101,0.95,4.793010997,29.55185075,4.232798858,TRUE,3.943561153,4.07313708,8.288786255,3.909163008,6,4.604172783,4.694989613,4.319275383,8.32E-07,150
EColi_BL21,,nad(p)_ratio_numerator,ratio,0.000801689,0.95,0.131188826,7.291180978,0.079289702,TRUE,0.054566295,0.063045116,33.59523992,0.055742811,6,0.096727063,0.113993975,0.084280135,0.000759522,151
EColi_BL21,nad,nad.nad_1.Light,umol*gDW-1,0.067714654,0.95,3.8136868,32.27199451,3.40546401,TRUE,3.155315661,3.206258769,7.590140554,3.160831438,6,3.585189525,3.701484775,3.428400218,5.37E-07,152
EColi_BL21,,nad_ratio,ratio,1.46E-07,0.95,0.005509878,32.84572895,0.005167079,TRUE,0.004728377,0.004876989,7.457559389,0.004588994,6,0.005466108,0.005531325,0.005129851,4.92E-07,154
EColi_BL21,,nad_ratio_denominator,ratio,0.067715648,0.95,3.831268468,32.43738334,3.423138199,TRUE,3.172908958,3.223876069,7.551440625,3.178343724,6,3.602756426,3.719082081,3.44599552,5.23E-07,155
EColi_BL21,,nad_ratio_numerator,ratio,3.46E-08,0.95,0.017943689,231.7198567,0.017546977,TRUE,0.017400108,0.017509449,1.057090997,0.01740469,6,0.017611146,0.017790495,0.017595301,2.84E-11,156
EColi_BL21,nadh,nadh.nadh_1.Light,umol*gDW-1,3.46E-08,0.95,0.017943689,231.7198567,0.017546977,TRUE,0.017400108,0.017509449,1.057090997,0.01740469,6,0.017611146,0.017790495,0.017595301,2.84E-11,158
EColi_BL21,nadp,nadp.nadp_1.Light,umol*gDW-1,0.010984555,0.95,0.93100976,18.8512405,0.834324823,TRUE,0.69660659,0.721522173,12.99378544,0.671112386,6,0.872239028,0.916583469,0.806595029,7.73747E-06,159
EColi_BL21,,nadp_ratio,ratio,0.000432195,0.95,0.108721317,8.714676611,0.068823993,TRUE,0.052146158,0.059947174,28.10763786,0.052536029,6,0.08312022,0.09578024,0.073963199,0.000329344,161
EColi_BL21,,nadp_ratio_denominator,ratio,0.017232578,0.95,1.044577613,16.29498429,0.896156037,TRUE,0.735517389,0.763812953,15.03217002,0.713273889,6,0.951401769,1.011042338,0.873279864,1.58733E-05,162
EColi_BL21,,nadp_ratio_numerator,ratio,0.00080284,0.95,0.113567854,5.764851076,0.061831214,TRUE,0.036949665,0.045236177,42.49007842,0.038234308,6,0.079162741,0.096420004,0.066684834,0.002206172,163
EColi_BL21,nadph,nadph.nadph_1.Light,umol*gDW-1,0.00080284,0.95,0.113567854,5.764851076,0.061831214,TRUE,0.036949665,0.045236177,42.49007842,0.038234308,6,0.079162741,0.096420004,0.066684834,0.002206172,164
EColi_BL21,,nc,ratio,1.13102E-05,0.95,0.519125744,375.7905869,0.517459775,TRUE,0.512418496,0.514626058,0.651823071,0.510134871,6,0.517733888,0.51947714,0.515947818,2.53E-12,166
EColi_BL21,,nc_denominator,ratio,70.50730466,0.95,71.60322153,18.29441345,63.43805703,TRUE,53.90137147,58.13911195,13.38927728,49.98085954,6,69.44479364,71.52530561,62.71333854,8.97239E-06,167
EColi_BL21,,nc_numerator,ratio,18.95193623,0.95,36.86515757,18.20698353,32.87046704,TRUE,27.78996416,29.79974235,13.45357258,25.87618896,6,35.8872942,36.92715295,32.35855855,9.1871E-06,168
EColi_BL21,oaa,oaa.oaa_1.Light,umol*gDW-1,16.58719992,0.95,11.97362832,4.245210901,7.841877259,TRUE,2.784386625,3.786583532,57.70007192,1.821304637,6,9.788426107,11.33254076,7.058463693,0.008128957,169
EColi_BL21,orn,orn.orn_1.Light,umol*gDW-1,7327.811365,0.95,795.077753,19.83168046,724.7738009,TRUE,603.2258574,628.8425454,12.35139779,576.9488804,6,736.1350959,782.8947725,693.0603149,6.02209E-06,171
EColi_BL21,oxa,oxa.oxa_1.Light,umol*gDW-1,0.925191062,0.95,9.157509499,20.82527721,8.56613529,TRUE,7.168275347,7.793657404,11.7620991,6.530380228,6,8.673915078,9.187113572,8.177694459,4.72803E-06,173
EColi_BL21,,p_ratio01,ratio,74.23106165,0.95,69.50553377,16.30595035,55.34176548,TRUE,48.31227921,53.27332211,15.0220606,45.79436315,6,63.00276048,66.39561891,57.35394906,1.58209E-05,174
EColi_BL21,,p_ratio01_denominator,ratio,0.016169391,0.95,1.17847412,19.53126037,0.963610013,TRUE,0.880469721,0.919611744,12.54138082,0.90034362,6,1.120281638,1.147359924,1.013914822,6.49428E-06,175
